AFG,Afghanistan,Afghanistan,Afghan Republic,,,,,,,,
ALB,Albania,Albania,Albanie,,,,,,,,
DZA,Algeria,Algeria,Algérie,,,,,,,,
ASM,American_Samoa,American Samoa,,,,,,,,,
AND,Andorra,Andorra,Andorre,,,,,,,,
AGO,Angola,Angola,,,,,,,,,
AIA,Anguilla,Anguilla,,,,,,,,,
ATA,Antartica,Antartica,,,,,,,,,
ATG,Antigua_Barbuda,Antigua & Barbuda,Antigua and Barbuda,Antigua et Barbuda,,,,,,,
ARG,Argentina,Argentina,Argentine,,,,,,,,
ARM,Armenia,Armenia,Arménie,,,,,,,,
ABW,Aruba,Aruba,,,,,,,,,
AUS,Australia,Australia,Australie,,,,,,,,
AUT,Austria,Austria,Autriche,,,,,,,,
AZE,Azerbaijan,Azerbaijan,,,,,,,,,
BHS,Bahamas,Bahamas,,,,,,,,,
BHR,Bahrain,Bahrain,,,,,,,,,
BGD,Bangladesh,Bangladesh,,,,,,,,,
BRB,Barbados,Barbados,Barbade,,,,,,,,
BLR,Belarus,Belarus,Byelorussian SSR,,,,,,,,
BEL,Belgium,Belgium,Belgique,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,
BEN,Benin,Benin,Dahomey,Bénin,,,,,,,
BMU,Bermuda,Bermuda,,,,,,,,,
BTN,Bhutan,Bhutan,,,,,,,,,
COL,Bolivia,Bolivia,Republic of Bolívar,Bolivie,République de Bolivar,,,,,,
BIH,Bosnia_Herzegovina,Bosnia & Herzegovina,Bosnia and Herzegovina,Bosnie et Herzégovine,Bosnie Herzégovine,Bosnie & Herzégovine,Bosnia Herzegovina,,,,
BWA,Botswana,Botswana,,,,,,,,,
BVT,Bouvet_Island,Bouvet Island,,,,,,,,,
BRA,Brazil,Brazil,Brésil,,,,,,,,
VGB,British_Virgin_Islands,British Virgin Islands,,,,,,,,,
BRN,Brunei_Darussalam,Brunei Darussalam,Brunei,,,,,,,,
BGR,Bulgaria,Bulgaria,Bulgarie,,,,,,,,
BFA,Burkina_Faso,Burkina Faso,Haute-Volta,Haute Volta,Upper Volta,,,,,,
BDI,Burundi,Burundi,,,,,,,,,
KHM,Cambodia,Cambodia,Kampuchea,Khmer Republic,Cambodge,,,,,,
CMR,Cameroon,Cameroon,Cameroun,,,,,,,,
CAN,Canada,Canada,,,,,,,,,
CPV,Cape_Verde,Cape Verde,Cabo Verde,Cap Vert,,,,,,,
CYM,Cayman_Islands,Cayman Islands,Iles Caiman,,,,,,,,
CAR,Central_African_Republic,Central African Republic,République Centrafricaine,,,,,,,,
TCD,Chad,Chad,Tchad,,,,,,,,
CHI,Channel_Islands,Channel Islands,,,,,,,,,
CHL,Chile,Chile,Chili,,,,,,,,
CHN,China,China,Chine,,,,,,,,
COL,Colombia,Colombia,Colombie,,,,,,,,
COM,Comoros,Comoros,Comores,,,,,,,,
COK,Cook Islands,Cook Islands,Iles Cook,,,,,,,,
CRI,Costa_Rica,Costa Rica,,,,,,,,,
HRV,Croatia,Croatia,Hrvatska,Croatie,,,,,,,
CUB,Cuba,Cuba,,,,,,,,,
CUW,Curaçao,Curaçao,,,,,,,,,
CYP,Cyprus,Cyprus,Chypre,,,,,,,,
CZE,Czech_Republic,Czech Republic,Czechia,République Tchèque,Tchéquie,,,,,,
CSK,Czechoslovakia,Czechoslovakia,Czechoslovak Republic,Tchécoslovaquie,République socialiste tchécoslovaque,République tchécoslovaque,,,,,
COD,Democratic_Republic_Congo,Democratic Republic of the Congo,"Congo, DR",Zaire, Congo belge,République démocratique du Congo,"Congo, DRC","Congo, Dem. Rep.",,,
DNK,Denmark,Denmark,Danmark,Danemark,,,,,,,
DJI,Djibouti,Djibouti,Territory of the Afars and the Issas,Territoire des Afars et des Issas,French Afars and Issas,,,,,,
DMA,Dominica,Dominica,Dominique,,,,,,,,
DOM,Dominican_Republic,Dominican Republic,République dominicaine,,,,,,,,
ECU,Ecuador,Ecuador,Equateur,,,,,,,,
EGY,Egypt,Egypt,Egypte,,,,,,,,
SLV,El_Salvador,El Salvador,,,,,,,,,
GNQ,Equatorial_Guinea,Equatorial Guinea,Guinée Equatoriale,,,,,,,,
ERI,Eritrea,Eritrea,Erythrée,,,,,,,,
EST,Estonia,Estonia,Estonie,,,,,,,,
SWZ,Eswatini,Swaziland,Eswatini,,,,,,,,
ETH,Ethiopia,Ethiopia,Ethiopie,,,,,,,,
FLK,Falkland Islands,Falkland Islands,Falklands,,,,,,,,
FRO,Faroe Islands,Faroes Islands,Iles Feroe,,,,,,,,
FJI,Fiji,Fiji,,,,,,,,,
FIN,Finland,Finland,Suomi ,Finlande,,,,,,,
FRA,France,France,,,,,,,,,
GUF,French_Guiana,French Guiana,French Guyana,Guyane Française,,,,,,,
PYF,French_Polynesia,French Polynesia,Polynésie française,,,,,,,,
GAB,Gabon,Gabon,Gabonese Republic,,,,,,,,
GMB,Gambia,Gambia,Gambie,,,,,,,,
GEO,Georgia,Georgia,Georgie,,,,,,,,
DEU,Germany,Germany,Deutschland,Allemagne,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,
GIB,Gibraltar,Gibraltar,,,,,,,,,
GRC,Greece,Greece,Hellas,Grèce,,,,,,,
GRL,Greenland,Greenland,Groenland,,,,,,,,
GRD,Grenada,Grenada,Grenade,,,,,,,,
GLP,Guadeloupe,Guadeloupe,,,,,,,,,
GUM,Guam,Guam,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,
GGY,Guernsey,Guernsey,,,,,,,,,
GIN,Guinea,Guinea,Guinée,,,,,,,,
GNB,Guinea_Bissau,Guinea-Bissau,Guinea Bissau,,,,,,,,
GUY,Guyana,Guyana,Guyane,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,
HKG,"Hong Kong SAR, China","Hong Kong SAR, China","Hong Kong, China","Hong Kong,China",Hong Kong,,,,,,
HUN,Hungary,Hungary,Hongrie,,,,,,,,
ISL,Iceland,Iceland,Islande,,,,,,,,
IND,India,India,Inde,,,,,,,,
IDN,Indonesia,Indonesia,Indonésie,,,,,,,,
IRN,Iran,Iran,,,,,,,,,
IRQ,Iraq,Iraq,Irak,,,,,,,,
IRL,Ireland ,Ireland ,Eire,Irlande,,,,,,,
IMN,Isle of Man,Isle of Man,,,,,,,,,
ISR,Israel,Israel,,,,,,,,,
ITA,Italy,Italy,Italie,,,,,,,,
CIV,Ivory_Coast,Ivory Coast,Cote d'Ivoire,Côte d'Ivoire,,,,,,,
JAM,Jamaica,Jamaica,Jamaique,,,,,,,,
JPN,Japan,Japan,Nippon,Japon,,,,,,,
JEY,Jersey,Jersey,,,,,,,,,
JOR,Jordan,Jordan,Jordanie,,,,,,,,
KAZ,Kazakhstan,Kazakhstan,,,,,,,,,
KEN,Kenya,Kenya,,,,,,,,,
KIR,Kiribati,Kiribati,,,,,,,,,
KNA,Kitts_Nevis,Saint Kitts and Nevis,Saint Kitts & Nevis,St Kitts & Nevis,Federation of Saint Christopher and Nevis,Saint Christopher and Nevis,Saint Kitts-Nevis-Anguilla, Saint Christopher-Nevis-Anguilla,Saint Kitts et Nevis,St Kitts et Nevis,
XKX,Kosovo,Kosovo,,,,,,,,,
KWT,Kuwait,Kuwait,Koweit,,,,,,,,
KGZ,Kyrgyz_Republic,Kyrgyz Republic,Kyrgyzstan,République Kyrgyze,,,,,,,
LAO,Laos,Laos,"Lao, PDR",Lao,,,,,,,
LVA,Latvia,Latvia,Latvie,,,,,,,,
LBN,Lebanon,Lebanon,Liban,,,,,,,,
LSO,Lesotho,Lesotho,Basutoland ,,,,,,,,
LBR,Liberia,Liberia,Libéria,,,,,,,,
LBY,Libya,Libya,Libye,,,,,,,,
LIE,Liechtenstein,Liechtenstein,,,,,,,,,
LTU,Lithuania,Lithuania,Lithuanie,,,,,,,,
LUX,Luxembourg,Luxembourg,,,,,,,,,
MAC,Macau,Macau,,,,,,,,,
MDG,Madagascar,Madagascar,,,,,,,,,
MWI,Malawi,Malawi,Nyasaland,,,,,,,,
MYS,Malaysia,Malaysia,,,,,,,,,
MDV,Maldives,Maldives,Maldive Islands,,,,,,,,
MLI,Mali,Mali,,,,,,,,,
MLT,Malta,Malta,,,,,,,,,
MHL,Marshall_Islands,Marshall Islands,Iles Marshall,,,,,,,,
MTQ,Martinique,Martinique,,,,,,,,,
MRT,Mauritania,Mauritania,Mauritanie,,,,,,,,
MUS,Mauritius,Mauritius,Ile Maurice,Iles Maurice,,,,,,,
MYT,Mayotte,Mayotte,,,,,,,,,
MEX,Mexico,Mexico,United Mexican States,Mexique,Etats-Unis Mexicains,Etats Unis Mexicains,,,,,
FSM,Micronesia,Micronesia,Micronésie,,,,,,,,
MDA,Moldova,Moldova,Moldavie,,,,,,,,
MCO,Monaco,Monaco,,,,,,,,,
MNG,Mongolia,Mongolia,Mongolie,,,,,,,,
MNE,Montenegro,Montenegro,Monténégro,,,,,,,,
MSR,Montserrat,Montserrat,,,,,,,,,
MAR,Morocco,Morocco,Maroc,,,,,,,,
MOZ,Mozambique,Mozambique,,,,,,,,,
MMR,Myanmar,Myanmar,Burma,Birmanie,,,,,,,
NAM,Namibia,Namibia,Namibie,,,,,,,,
NRU,Nauru,Nauru,,,,,,,,,
NPL,Nepal,Nepal,Népal,,,,,,,,
NLD,Netherlands,Netherlands,Holland,Hollande,Pays-Bas,,,,,,
NCL,New_Caledonia,New Caledonia,Nouvelle Caledonie,,,,,,,,
NZL,New_Zealand,New Zealand,Nouvelle-Zélande,,,,,,,,
NIC,Nicaragua,Nicaragua,,,,,,,,,
NER,Niger,Niger,,,,,,,,,
NGA,Nigeria,Nigeria,Nigéria,,,,,,,,
NIU,Niue,Niue,,,,,,,,,
NFK,Norfolk Island,Norfolk Island,Norfolk,,,,,,,,
PRK,North_Korea,"Korea, Democratic Republic of",North Korea,DPRK,Democratic Republic of Korea,D.P.R.K.,"Korea, Dem. Rep.","Korea, DR","Korea, D.R.",Corée du Nord,
MNP,Northern_Mariana_Islands,Northern Mariana Islands,,,,,,,,,
NOR,Norway,Norway,Norvège,,,,,,,,
OMN,Oman,Oman,,,,,,,,,
PIC,Pacific_Islands,Pacific Islands,PICTS,Iles du Pacifique,,,,,,,
PAK,Pakistan,Pakistan,,,,,,,,,
PLW,Palau,Palau,,,,,,,,,
PAN,Panama,Panama,,,,,,,,,
PNG,Papua_New_Guinea,Papua New Guinea,Papouasie Nouvelle Guinée,Papouasie-Nouvelle-Guinée,PNG,,,,,,
PRY,Paraguay,Paraguay,,,,,,,,,
COG,People_Republic_Congo,People's Republic Congo,"Congo, PR",Congo Brazzaville, French Congo,Republic of the Congo,République du Congo,"Congo, Rep.",Republic of Congo,"Congo, Rep",
PER,Peru,Peru,Pérou,,,,,,,,
PHL,Philippines,Philippines,Philippine Islands,,,,,,,,
PCN,Pitcairn Islands,Pitcairn Islands,Pitcairn,,,,,,,,
POL,Poland,Poland,Pologne,,,,,,,,
PRT,Portugal,Portugal,Portuguese Republic,,,,,,,,
PRI,Puerto_Rico,Puerto Rico,Porto Rico,,,,,,,,
QAT,Qatar,Qatar,Katar,,,,,,,,
MKD,Republic_Macedonia,Republic of Macedonia,FYROM,Macedonia,Macédoine,,,,,,
REU,Reunion,Reunion Island,,,,,,,,,
ROU,Romania,Romania,Roumanie,,,,,,,,
RUS,Russia,Russian Federation,Russia,Russie,Fédération Russe,,,,,,
RWA,Rwanda,Rwanda,Rwandese Republic,République Rwandaise,,,,,,,
BLM,Saint_Barthelemy,,,,,,,,,,
SHN,Saint_Helena,Saint Helena,"Saint Helena, Ascension and Tristan da Cunha",St Helena,,,,,,,
LCA,Saint_Lucia,Saint Lucia,Sainte Lucie,St Lucia,St. lucia,St Lucie,,,,,
MAF,Saint_Martin,Saint Martin,,,,,,,,,
SPM,Saint_Pierre_Miquelon,Saint Pierre et Miquelon,,,,,,,,,
WSM,Samoa,Samoa,,,,,,,,,
SMR,San_Marino,San Marino,Saint Marin,,,,,,,,
STP,Sao_Tome_Principe,Sao Tome and Principe,Sao Tome & Principe,Sao Tome,Sao Tome et Principe,Sao Tome e Principe,,,,,
SAU,Saudi_Arabia,Saudi Arabia,Arabie Saoudite,,,,,,,,
SEN,Senegal,Senegal,Sénégal,,,,,,,,
SRB,Serbia,Serbia,Serbie,République Serbe,,,,,,,
SYC,Seychelles,Seychelles,,,,,,,,,
SLE,Sierra_Leone,Sierra Leone,,,,,,,,,
SGP,Singapore,Singapore,Singapour,,,,,,,,
SXM,Sint_Marteen,Sint Marteen,,,,,,,,,
SVK,Slovakia,Slovak Republic,Slovakia,Slovaquie,République Slovaque,,,,,,
SVN,Slovenia,Slovenia,Slovénie,,,,,,,,
SLB,Solomon_Islands,Solomon Islands,Iles Salomon,,,,,,,,
SOM,Somalia,Somalia,Somalie,,,,,,,,
ZAF,South_Africa,South Africa,Afrique du Sud,,,,,,,,
KOR,South_Korea,"Korea, Republic of (South Korea)",South Korea,Republic of Korea ,R.O.K.,Corée du Sud,,,,,
SSD,South_Sudan,South Sudan,Soudan du Sud,Sud Soudan,,,,,,,
ESP,Spain,Spain,Espagne,,,,,,,,
LKA,Sri_Lanka,Sri Lanka,Ceylon ,Ceylan,,,,,,,
SDN,Sudan,Sudan,Soudan,,,,,,,,
SUR,Suriname,Suriname,Surinam,,,,,,,,
SWE,Sweden,Sweden,Suède,,,,,,,,
CHE,Switzerland,Switzerland,Swiss Confederation,Suisse,,,,,,,
SYR,Syria,Syria,Syrie,Syrian Arab Republic,Syrian Arab Rep.,,,,,,
TPE,Taiwan,Taiwan,Taipei,Formose,,,,,,,
TJK,Tajikistan,Tajikistan,,,,,,,,,
TZA,Tanzania,Tanzania,Tanzanie,,,,,,,,
THA,Thailand,Thailand,Siam,Thailande,,,,,,,
TLS,Timor_Leste,Timor Leste,East Timor,Timor Est,,,,,,,
TGO,Togo,Togo,,,,,,,,,
TON,Tonga,Tonga,,,,,,,,,
TTO,Trinidad_Tobago,Trinidad & Tobago,Trinidad and Tobago,Trinidad et Tobago,,,,,,,
TUN,Tunisia,Tunisia,Tunisie,,,,,,,,
TUR,Turkey,Turkey,Turquie,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,
TCA,Turks_Caicos,Turks & Caicos,Turks and Caicos,Turks et Caicos,,,,,,,
TUV,Tuvalu,Tuvalu,,,,,,,,,
UGA,Uganda,Uganda,Ouganda,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,
ARE,United_Arab_Emirates,United Arab Emirates,UAE,U.A.E.,Emirats Arabes Unis,,,,,,
GBR,United_Kingdom,Great Britain,United Kingdom,Royaume Uni,Royaume-Uni,Grande Bretagne,Grande-Bretagne,,,,
USA,United_States,United States of America,USA,U.S.,U.S.A.,Etats-Unis,,,,,
URY,Uruguay,Uruguay,,,,,,,,,
UZB,Uzbekistan,Uzbekistan,,,,,,,,,
VUT,Vanuatu,Vanuatu,New Hebrides,,,,,,,,
VAT,Vatican,Vatican,,,,,,,,,
VEN,Venezuela,Venezuela,Vénézuela,,,,,,,,
VNM,Vietnam,Vietnam,Viet Nam,,,,,,,,
VCT,Vincent_Grenadines,Saint Vincent's & Grenadines,Saint Vincent's and Grenadines,Saint Vincent & Grenadines,Saint Vincent & the Grenadines,Saint Vincent and the Grenadines,Saint Vincent et Grenadines,St Vincent et Grenadines,St Vincent & Grenadines,St Vincent and Grenadines,St Vincent and the Grenadines
VIR,Virgin_Islands,Virgin Islands,Iles Vierges,,,,,,,,
PSE,West_Bank_Gaza,West Bank and Gaza,West Bank & Gaza,,,,,,,,
ESH,Western_Sahara,Western Sahara,Sahara Occidental,,,,,,,,
YEM,Yemen,Yemen,Yémen,,,,,,,,
YUG,Yougoslavia,Yougoslavia,Yougoslavie,,,,,,,,
ZMB,Zambia,Zambia,Zambie,,,,,,,,
ZWE,Zimbabwe,Zimbabwe,Rhodesia ,Rhodésie,Southern Rhodesia,,,,,,
